COMPAÑIA;TIPO;NOMENCLATURA;MARCA;MODELO;AÑO;PPU;VENCIMIENTO REVISION TECNICA;VENCIMIENTO PERMISO CIRCULACION;VENCIMIENTO SEGURO
PRIMERA;BOMBA;B-1;E-ONE;CYCLON DCAB;1999;GGYW68; ;30-09-2025;30-09-2025
PRIMERA;RESCATE;RB-1;RENAULT;CAMIVA MIDLUM 220.13;2007;BCGY78;20-02-2026;30-09-2025;30-09-2025
SEGUNDA;BOMBA;B-2;RENAULT;CAMIVA MIDLUM 220.13;2007;BCGY77;26-11-2025;30-09-2025;30-09-2025
SEGUNDA;RESCATE;R-2;SPARTAN;SWAB HEAVY RESCUE;1995;LJVC70;27-12-2025;30-09-2024;30-09-2024
SEGUNDA;BOMBA S.I;BX-2;PIERCE ;DASH DCAB;1994;GGYW70;10-03-2025;30-09-2025;30-09-2024
TERCERA;BOMBA;B-3;MAN;TGM 18.320;2020;PBFJ55;06-02-2026;;30-09-2025
TERCERA;PORTAESCALA;Q-3;SPARTAN;METROSTAR;2016;HVZW54;06-02-2026;;30-09-2025
TERCERA;MECANICA;MX-3;SPARTAN;SMEAL;1997;LJCV73;27-08-2025;;
CUARTA;BOMBA;BH-4;RENAULT;MIDLUM 240.13;2007;BGVF59;13-09-2025;;30-09-2025
CUARTA;UNIDAD TECNICA;UT-4;IVECO;ML100 E18;1993;HTGX10;25-10-2025;;30-09-2025
QUINTA;BOMBA;B-5;RENAULT;MIDLUM 280.15;2011;DLKR56;08-01-2026;30-09-2025;30-09-2025
QUINTA;RESCATE / BOMBA;RB-5;E-ONE;CYCLONE;1994;KYZL83;08-01-2025;30-09-2025;30-09-2025
QUINTA;ALJIBE;BT-5;IVECO;TRAKKER 260T45;2018;LKVD34;02-04-2025;30-09-2025;30-09-2025
SEPTIMA;BOMBA;B-7;E-ONE;CYCLONE DCAB 8.3;2005;RBLS28;19-08-2025;;30-09-2025
SEPTIMA;PORTAESCALA;Q-7;RENAULT;CAMIVA PREMIUM 210.18;2001;UY3596;18-08-2025;;30-09-2025
SEPTIMA;MECANICA;MX-7;PIERCE ;Y-LANCE ;1994;LJCV72;15-09-2025;;30-09-2025
SEPTIMA;PORTAESCALA;;RENAULT;CAMIVA;1986;FB7041;;;
OCTAVA;BOMBA;B-8;IVECO;150E 28;2020;PBFJ58;22-09-2025;30-09-2025;30-09-2025
OCTAVA;BOMBA S.I;BX-8;RENAULT;CAMIVA ME160;1998;TD4993;24-11-2025;30-09-2022;30-09-2025
OCTAVA;ALJIBE;Z-8;INTERNATIONAL;7600;2008;BRDJ29;22-09-2025;30-09-2025;30-09-2025
NOVENA;BOMBA;RB-9;IVECO;160 E30;2015;HTRD90;05-12-2025;;30-09-2025
NOVENA;UNIDAD TECNICA;UT-9;DODGE;RAM 3500 SLT;2012;DLRJ93;05-12-2025;30-09-2025;30-09-2025
NOVENA;MECANICA;M-9;IVECO;EPS30;2008;BYTP59;05-12-2025;30-09-2025;30-09-2025
DECIMA;BOMBA;B-10;IVECO;160 E30;2015;HRWB73;30-11-2025;30-09-2025;30-09-2025
DECIMA;BOMBA S.I;BX-10;RENAULT;CAMIVA S150.09;1996;SP8504;20-11-2025;30-09-2025;30-09-2025
DECIMA;ALJIBE;Z-10;MERCEDES BENZ;ATEGO 1726.48;2022;LYGV82;22-09-2025;30-09-2025;30-09-2024
COMANDANCIA;CAMIONETA;K-1;TOYOTA;HILUX 2.4;2018;KSSJ15;31-08-2025;31-03-2025;31-03-2025
COMANDANCIA;CAMIONETA;K-2;JIM;REMAX;2024;TGYP62;31-05-2027;31-03-2026;31-03-2026
COMANDANCIA;CAMIONETA;K-3;TOYOTA;HILUX DLX DCAB;1998;RX7789;31-01-2026;31-03-2026;31-01-2026
COMANDANCIA;CAMIONETA;K-4;NISSAN;D21;1998;RV5361;30-04-2026;;31-03-2026
COMANDANCIA;CAMIONETA;KS;TOYOTA;RAV 4 ;2018;KSSJ13;;;31-03-2026
COMANDANCIA;UNIDAD TECNICA;UT-0;DODGE;RAM 2500 HEAVY DUTY;2011;CWKV17;13-03-2026;21-06-2024;31-03-2026
COMANDANCIA;BOOGIE;UT-1;CAN-AM;DEFENDER;2020;;;;
COMANDANCIA;AMBULANCIA;S-1;MERCEDES BENZ;VITO 111 CDI 2.1;2010;CFGD34;31-07-2025;21-06-2024;31-03-2026
COMANDANCIA;COMUNICACIONES;X-1;KIA MOTORS;FRONTIER DCAB 2.5;2007;WB7297;31-10-2025;31-03-2026;31-03-2026
COMANDANCIA;BOMBA;BR-0;RENAULT;CAMIVA MIDLUM 210;2006;YB1347;22-10-2025;;30-09-2025
